Object1,Object2,Dissimdist,Relationship,Traffic
colgate-palmolive,exxonmobil,0.6019479001,valuechain,
citigroup,metlife,0.6021597272,peer,
png,exxonmobil,0.6025733826,valuechain,
png,ibm,0.604060586,peer,
c.bailout,ge,0.6045667212,constituent,
3m,pfizer,0.6046396241,peer,
caterpillar,ge,0.6053845425,competitor,
bofa,wellsfargo,0.6056004129,competitor,
abbvie,png,0.6057908202,valuechain,
c.electricvehicle,c.selfdriving,0.6063193209,sister,
3m,occidentalpetrol,0.6063899905,valuechain,
gm,colgate-palmolive,0.6072304168,valuechain,
goldmansachs,morganstanley,0.607275216,competitor,
gilead,abbvie,0.6073877737,competitor,
png,berkshirehathaway,0.6081238004,peer,
allergan,png,0.6084357967,valuechain,
3m,gilead,0.6085847298,peer,
amgen,c.orphandrug,0.6092699324,constituent,
3m,emersonelectric,0.6099791275,valuechain,
raytheon,generaldynamics,0.610124818,competitor,
johnsonandjohnson,colgate-palmolive,0.610299207,competitor,
3m,schlumberger,0.6106277481,valuechain,
abbott,mondelez,0.6110483601,peer,
ups,ge,0.6110581875,valuechain,
texasinstrument,c.internetofthings,0.6112613518,constituent,
goldmansachs,ge,0.6119638786,peer,
occidentalpetrol,ge,0.6122401969,valuechain,
allergan,ge,0.6125095404,valuechain,
gm,dupont,0.6129843131,valuechain,
png,allstate,0.6130383544,peer,
png,texasinstrument,0.6131664257,peer,
danaher,ge,0.6134723723,valuechain,
pfizer,elilily,0.6134803586,competitor,
abbvie,biogen,0.614079976,competitor,
cocacola,colgate-palmolive,0.6142371673,valuechain,
honeywell,texasinstrument,0.6144534171,valuechain,
conocophillips,ge,0.61453435,valuechain,
png,southernco,0.6146366518,peer,
png,metlife,0.6151616938,peer,
colgate-palmolive,dupont,0.6152759125,valuechain,
pfizer,johnsonandjohnson,0.6154668271,valuechain,
pfizer,png,0.6158841235,valuechain,
celgene,amgen,0.6163103074,competitor,
dellemc,ge,0.616589228,competitor,
3m,generaldynamics,0.6168630636,valuechain,
metlife,unitedhealth,0.6174321159,competitor,
berkshirehathaway,metlife,0.6175143349,competitor,
gm,ups,0.6178623356,valuechain,
c.internetofthings,c.saas,0.6180609317,sister,
halliburton,ge,0.6181691677,valuechain,
medtronic,ge,0.6197360819,competitor,
dowchemical,dupont,0.6200928347,competitor,
capitalone,bofa,0.620315939,competitor,
boeing,ge,0.620681097,valuechain,
bristolmyerssquibb,dupont,0.6207633212,valuechain,
png,schlumberger,0.6208884874,peer,
occidentalpetrol,c.shalegas,0.6211168704,constituent,
gm,caterpillar,0.621492094,peer,
goldmansachs,bofa,0.6215815373,competitor,
abbott,dupont,0.6219010331,valuechain,
citigroup,wellsfargo,0.6222213778,competitor,
qualcomm,c.internetofthings,0.6223654645,constituent,
colgate-palmolive,mondelez,0.622747136,peer,
celgene,bristolmyerssquibb,0.6234942956,competitor,
png,dowchemical,0.62370903,valuechain,
unitedhealth,ge,0.6237850826,peer,
bristolmyerssquibb,exxonmobil,0.6245829265,valuechain,
gm,pepsico,0.6247496647,peer,
dupont,elilily,0.6250240558,valuechain,
bristolmyerssquibb,mondelez,0.6253675319,valuechain,
danaher,texasinstrument,0.625368136,valuechain,
texasinstrument,generaldynamics,0.6255114,valuechain,
3m,metlife,0.6261477409,peer,
3m,abbvie,0.6263743958,peer,
3m,microsoft,0.6266459391,peer,
citigroup,visa,0.6270133174,valuechain,
tesla,ge,0.6277366185,valuechain,
ibm,texasinstrument,0.6278808064,valuechain,
jpmchase,wellsfargo,0.627997195,competitor,
unitedtech,ge,0.6281025434,competitor,
gm,cocacola,0.6291646622,peer,
abbott,biogen,0.6292644675,competitor,
gilead,johnsonandjohnson,0.630273791,valuechain,
gilead,pfizer,0.6303352942,competitor,
usbancorp,wellsfargo,0.6309007383,competitor,
verizon,ge,0.6309093576,valuechain,
caterpillar,png,0.6309146079,peer,
c.virtualreality,c.internetofthings,0.630947451,sister,
colgate-palmolive,southernco,0.6315903976,valuechain,
abbvie,pfizer,0.631656296,valuechain,
allstate,ge,0.6331728788,peer,
comcast,ge,0.6331739416,valuechain,
ibm,elilily,0.6333689466,peer,
kindermorgan,morganstanley,0.6334447024,valuechain,
goldmansachs,aig,0.6335872039,peer,
gilead,ge,0.6336521455,valuechain,
lockheedmartin,generaldynamics,0.6336948443,competitor,
gilead,biogen,0.6338231274,competitor,
qualcomm,texasinstrument,0.6338545986,competitor,
abbvie,allergan,0.6341543128,competitor,
halliburton,exxonmobil,0.6343663821,valuechain,
cocacola,mondelez,0.6344117687,competitor,
johnsonandjohnson,amgen,0.634593773,valuechain,
allergan,johnsonandjohnson,0.6346160134,valuechain,
3m,allstate,0.635001019,peer,
cvs,ge,0.6353967659,valuechain,
abbott,southernco,0.6360494498,valuechain,
png,microsoft,0.6365527002,peer,
netflix,p.hulu,0.6365779164,competitor,
jpmchase,visa,0.6366723928,valuechain,
abbott,schlumberger,0.6367042543,peer,
biogen,ge,0.6368247488,valuechain,
3m,chevron,0.6368665962,valuechain,
berkshirehathaway,mondelez,0.6370065126,holding,
abbott,cocacola,0.6370945977,peer,
citigroup,amex,0.6373997044,valuechain,
honeywell,generaldynamics,0.637680852,peer,
abbvie,elilily,0.6378792492,competitor,
dupont,exxonmobil,0.6380241066,valuechain,
abbvie,johnsonandjohnson,0.6392185223,valuechain,
jpmchase,mastercard,0.6404125392,valuechain,
biogen,elilily,0.6406377205,competitor,
abbvie,celgene,0.6408963224,competitor,
abbott,ibm,0.6409735662,valuechain,
abbott,pepsico,0.6411125833,peer,
abbott,gm,0.6411566386,peer,
gm,mondelez,0.6413461707,peer,
southernco,exxonmobil,0.6414989775,valuechain,
ibm,microsoft,0.6418516307,competitor,
c.videoondemand,p.hulu,0.6418523648,constituent,
amgen,biogen,0.6418760311,competitor,
southernco,elilily,0.6420436139,valuechain,
texasinstrument,mobileye,0.6421801692,competitor,
3m,southernco,0.6422094743,peer,
honeywell,raytheon,0.6424244637,competitor,
goldmansachs,bankofnewyork,0.6424459435,competitor,
pepsico,dupont,0.6426146308,peer,
3m,citigroup,0.6430558429,peer,
pfizer,amgen,0.6433396332,competitor,
unitedtech,generaldynamics,0.6433603118,competitor,
abbott,berkshirehathaway,0.6439260644,peer,
dupont,mondelez,0.6446624395,valuechain,
png,biogen,0.6448111033,valuechain,
elilily,mondelez,0.6451418086,valuechain,
honeywell,unitedtech,0.6451421809,competitor,
gm,exxonmobil,0.6455063426,valuechain,
gilead,celgene,0.6456591408,competitor,
homedepot,lowes,0.6458524228,competitor,
honeywell,png,0.646091458,peer,
lockheedmartin,ge,0.6462425626,competitor,
apple,ge,0.6465045071,peer,
pfizer,allergan,0.646782524,competitor,
png,chevron,0.6468586015,valuechain,
c.internetofthings,ge,0.6469061625,constituent,
gm,citigroup,0.6470470232,competitor,
aig,c.bailout,0.6471507011,constituent,
altria,ge,0.6472696124,peer,
lowes,walmart,0.6473674632,competitor,
png,occidentalpetrol,0.647428002,valuechain,
pepsico,elilily,0.6474574454,valuechain,
timewarner,ge,0.6475455955,peer,
dukeenergy,ge,0.648007331,valuechain,
3m,tesla,0.6480733475,valuechain,
png,raytheon,0.64848872,peer,
citigroup,mastercard,0.6486867975,valuechain,
3m,conocophillips,0.6488258694,valuechain,
abbvie,amgen,0.6490032571,competitor,
raytheon,lockheedmartin,0.6500329661,competitor,
abbott,exxonmobil,0.6502430299,valuechain,
metlife,bristolmyerssquibb,0.6503009246,valuechain,
southernco,bristolmyerssquibb,0.6504785661,valuechain,
accenture,ge,0.6508390153,valuechain,
3m,amazon,0.6512276871,valuechain,
3m,ups,0.6513859073,valuechain,
3m,dellemc,0.6524745901,valuechain,
morganstanley,ge,0.6525083108,peer,
abbott,metlife,0.6526827052,valuechain,
southernco,dupont,0.6527755615,valuechain,
citigroup,berkshirehathaway,0.6528485206,peer,
merckandco,bristolmyerssquibb,0.6529106349,competitor,
abbott,cvs,0.6532348879,valuechain,
mastercard,bofa,0.6534620066,valuechain,
3m,halliburton,0.6537672343,valuechain,
allergan,elilily,0.6538601206,competitor,
pepsico,bristolmyerssquibb,0.6540072645,valuechain,
capitalone,c.bailout,0.6542117989,constituent,
png,generaldynamics,0.6542402427,peer,
ibm,colgate-palmolive,0.6543042732,peer,
png,amazon,0.6550365597,valuechain,
gm,ibm,0.6551266641,valuechain,
gm,berkshirehathaway,0.6552914087,holding,
gm,elilily,0.6554539016,peer,
ibm,bristolmyerssquibb,0.6554585442,valuechain,
gm,mobileye,0.6554995759,valuechain,
3m,allergan,0.6556439562,peer,
chevron,southernco,0.6559181197,valuechain,
abbott,amgen,0.6561618216,competitor,
exelon,ge,0.6562741845,valuechain,
texasinstrument,dupont,0.6563356466,peer,
elilily,exxonmobil,0.6568059378,valuechain,
cocacola,dupont,0.6571113267,peer,
citigroup,unitedhealth,0.6580869679,peer,
schlumberger,exxonmobil,0.6581046382,valuechain,
abbott,celgene,0.6581494828,competitor,
priceline,ge,0.6583623696,peer,
png,conocophillips,0.6587408015,valuechain,
3m,medtronic,0.6587903711,valuechain,
png,citigroup,0.6589123737,peer,
colgate-palmolive,metlife,0.659021748,peer,
gm,bristolmyerssquibb,0.6591199932,peer,
pepsico,johnsonandjohnson,0.6591451758,peer,
3m,danaher,0.6593070129,valuechain,
png,amgen,0.6596826866,valuechain,
caterpillar,texasinstrument,0.6599620828,valuechain,
gm,honeywell,0.6600362405,valuechain,
3m,apple,0.6604928433,valuechain,
bofa,ge,0.6614267921,competitor,
schlumberger,bristolmyerssquibb,0.6617688412,peer,
amgen,elilily,0.6620045969,competitor,
target,ge,0.6621392383,valuechain,
png,merckandco,0.6623997686,valuechain,
cocacola,elilily,0.662440566,peer,
dowchemical,occidentalpetrol,0.6629368066,valuechain,
3m,cvs,0.6629454253,valuechain,
amex,costco,0.6629768531,valuechain,
pepsico,texasinstrument,0.6630075235,peer,
amazon,ge,0.6632649283,valuechain,
c.internetofthings,c.selfdriving,0.6632966712,sister,
cocacola,bristolmyerssquibb,0.6634507318,valuechain,
gm,boeing,0.6636915428,peer,
pfizer,merckandco,0.6639403874,competitor,
png,cvs,0.6640862036,valuechain,
gm,chevron,0.664338172,valuechain,
texasinstrument,microsoft,0.6644379311,valuechain,
exelon,nexteraenergy,0.6644517616,competitor,
merckandco,ge,0.6644974222,valuechain,
gm,dowchemical,0.6646334082,valuechain,
colgate-palmolive,occidentalpetrol,0.6647056301,valuechain,
png,altria,0.6647778732,peer,
johnsonandjohnson,dupont,0.6651518335,valuechain,
gilead,c.orphandrug,0.6654351196,constituent,
gilead,colgate-palmolive,0.6655141655,valuechain,
3m,boeing,0.6655374036,valuechain,
dupont,occidentalpetrol,0.6657388557,valuechain,
pepsico,exxonmobil,0.6658172914,peer,
3m,unitedtech,0.6659083748,valuechain,
honeywell,emersonelectric,0.6661287307,competitor,
caterpillar,colgate-palmolive,0.6668187311,peer,
capitalone,usbancorp,0.6668427161,competitor,
allstate,colgate-palmolive,0.6671181844,peer,
starbucks,walmart,0.6671475083,valuechain,
citigroup,bristolmyerssquibb,0.6674815712,peer,
gilead,mondelez,0.6675032327,valuechain,
colgate-palmolive,dowchemical,0.6675269024,valuechain,
3m,altria,0.6675469162,peer,
berkshirehathaway,bristolmyerssquibb,0.6679920761,peer,
metlife,c.bailout,0.6679953446,constituent,
cocacola,berkshirehathaway,0.6680350303,holding,
gilead,dupont,0.6681370216,valuechain,
capitalone,bankofnewyork,0.6681665801,peer,
3m,walgreens,0.6682952339,valuechain,
johnsonandjohnson,mondelez,0.6688270347,peer,
gm,raytheon,0.6691258175,peer,
jpmchase,metlife,0.669725415,peer,
schlumberger,dupont,0.6697714605,peer,
aig,allstate,0.6699356915,competitor,
3m,aig,0.6702682932,peer,
ibm,dupont,0.6703367976,peer,
png,boeing,0.6703657802,peer,
png,emersonelectric,0.6705732617,valuechain,
abbott,merckandco,0.6706394797,competitor,
abbott,allstate,0.6707862352,peer,
danaher,unitedtech,0.67078847,competitor,
halliburton,occidentalpetrol,0.670872424,valuechain,
schlumberger,elilily,0.6709039309,valuechain,
pfizer,biogen,0.6709729172,competitor,
mcdonalds,ge,0.6710023824,valuechain,
southernco,nexteraenergy,0.6710744161,competitor,
